SITE,LATITUDE,LONGITUDE,MPAGroup,site_designation,site_status,MLPA_REGN,YEAR_MPA,year,fishtrans,fish_CPUN,fish_GNIG,fish_HRUB,fish_HSEM,fish_OCAL,fish_OYT,fish_SMYS,fish_EJAC,fish_KGB,fish_PCLA,fish_SPUL,fish_BFRE,fish_MCAL,fish_OPIC,fish_PCLAYOY,fish_HROS,fish_RTOX,fish_RVAC,fish_STRE,fish_STREYOY,fish_SATR,fish_CPUNYOY,fish_OCALYOY,fish_SCAR,fish_CPRI,fish_ELAT,fish_SCAU,fish_SCHR,fish_HROSYOY,fish_HCAR,fish_ATHE,fish_SMAR,fish_SPULYOY,fish_PFUR,fish_OYB,fish_SMYSYOY,fish_SDALYOY,fish_SMINYOY,fish_HRUBYOY,fish_BFREYOY,fish_RFYOY,fish_EJACYOY,fish_SPAUYOY,fish_SPAU,fish_AFLA,fish_CAGGYOY,fish_MCALYOY,fish_OELO,fish_HDEC,fish_PNEB,fish_SHOPYOY,fish_SSAXYOY,fish_SSEMYOY,fish_SROSYOY,fish_SMIN,fish_SAUR,fish_SMEL,fish_RNIC,fish_SPINYOY,fish_HCARYOY,fish_ELATYOY,fish_SAURYOY,fish_HDECYOY,fish_PNEBYOY,fish_SENTYOY,fish_SMARYOY,fish_PFURYOY,fish_AOCEYOY,fish_OPICYOY,fish_SNEBYOY,fish_PCALYOY,fish_CVIOYOY,fish_PCOEYOY,fish_SDIPYOY,fish_RVACYOY,fish_RTOXYOY,fish_SRUBYOY,fish_HLAGYOY,fish_HANAYOY,fish_PNOTYOY,fish_EMBIYOY
ANACAPA_ADMIRALS_E,34.0034,-119.418,Anacapa Island SMCA,reference,reference,SCSR,0,2008,8,0,0.75,0.125,0.25,15.5,0,0,1.875,0.75,0.875,0.125,6.5,0.375,0,0,0,0,0,0,0,0.625,15.125,6.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_E,34.0034,-119.418,Anacapa Island SMCA,reference,reference,SCSR,0,2009,8,1.5,3.5,0.5,0.25,32.375,0,0,5.5,1.75,2.75,0.75,5.5,0,1.125,0,0,0,0.625,0,0,1,2.375,0,0,0,0.125,0,0,0,0,7.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_W,34.0078,-119.4344,Anacapa Island SMCA,reference,reference,SCSR,0,2005,8,64.875,1.875,0.375,0.25,15.875,0,0,0,0,0.625,0.5,0.125,1.875,3.125,0,0.125,0,0.125,0.125,0.125,0,0,0,0,0,0,0,0.25,0.125,0,8.25,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_W,34.0078,-119.4344,Anacapa Island SMCA,reference,reference,SCSR,0,2006,8,32.875,1.875,0.375,0.125,11.25,0,0,0.625,0,0.5,0.375,0,0.5,0,0,0,0,0.125,0.125,0,0.125,9,0,0.125,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_W,34.0078,-119.4344,Anacapa Island SMCA,reference,reference,SCSR,0,2007,8,18.75,1,0.75,1.75,8.375,0,0,1.75,0,1.5,1.75,0.125,0.375,0.125,0,0.125,0,0.375,0.125,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_W,34.0078,-119.4344,Anacapa Island SMCA,reference,reference,SCSR,0,2008,8,5.125,1.375,0.75,1.5,9.75,0,0.125,1,0.25,0.75,1.75,0,0.375,0.625,0,0,0,0,0,0,0.125,19.5,3,0.125,0,0,0,0.125,0,0,3.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_W,34.0078,-119.4344,Anacapa Island SMCA,reference,reference,SCSR,0,2009,8,63,2,0.875,0.25,22.125,0,0,1.5,0,1.375,3.625,0.875,0.625,2,0,0,0.125,1.375,0.125,0.125,0.125,18.625,0,0.125,0,0,0,0.25,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_BLACK_SEA_BASS,34.0126,-119.3892,Anacapa Island SMR,SMR,MPA,SCSR,2003,2006,8,9.75,0,0.125,0.125,5.875,0,0,0,0,1.625,0.375,0,0.5,0,0,0,0,0,0,0.125,0,0.625,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_BLACK_SEA_BASS,34.0126,-119.3892,Anacapa Island SMR,SMR,MPA,SCSR,2003,2007,12,2.833333,0.083333,0.083333,0,0,0,0,0.166667,0,2.666667,0.333333,0,1.083333,0,0,0,0,0,0.083333,0.083333,0,0.333333,0,0,0.916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_BLACK_SEA_BASS,34.0126,-119.3892,Anacapa Island SMR,SMR,MPA,SCSR,2003,2008,12,4.5,0.25,0.166667,0.5,0.083333,0,0,0.916667,0,2.083333,0.5,0,0.416667,0,0,0,0,0,0,0.166667,0,12.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
